Rank,School,Type,Grades,Address,City,Zip,County,District,Is Charter,Is Magnet,Is Virtual,Is Title I,Year
840,Willow Glen High,Public,12-Sep,2001 Cottle Ave.,San Jose,95125,Santa Clara,San Jose Unified,No,No,No,No,2016
884,Oak Grove High,"Public, Magnet",12-Sep,285 Blossom Hill Rd.,San Jose,95123,Santa Clara,East Side Union High,No,Yes,No,Yes,2016
897,Mt. Pleasant High,"Public, Magnet",12-Sep,1750 S. White Rd.,San Jose,95127,Santa Clara,East Side Union High,No,Yes,No,Yes,2016
899,James Lick High,"Public, Magnet",12-Sep,57 N. White Rd.,San Jose,95127,Santa Clara,East Side Union High,No,Yes,No,Yes,2016
921,William C. Overfelt High,"Public, Magnet",12-Sep,1835 Cunningham Ave.,San Jose,95122,Santa Clara,East Side Union High,No,Yes,No,Yes,2016
930,ACE Charter High,"Public, Charter",12-Sep,1776 Edal Park Dr.,San Jose,95133,Santa Clara,East Side Union High,Yes,No,No,Yes,2016
950,Andrew P. Hill High,"Public, Magnet",12-Sep,3200 Senter Rd.,San Jose,95111,Santa Clara,East Side Union High,No,Yes,No,Yes,2016
1158,Boynton High,Public,12-Sep,901 Boynton Ave.,San Jose,95117,Santa Clara,Campbell Union High,No,No,No,No,2016
1279,Gunderson High,Public,12-Sep,620 Gaundabert Ln.,San Jose,95136,Santa Clara,San Jose Unified,No,No,No,Yes,2016
1351,Alta Vista High,Public,12-Sep,1325 Bryant Ave.,Mountain View,94040,Santa Clara,Mountain View-Los Altos Union High,No,No,No,Yes,2016
1370,San Jose High,Public,12-Sep,275 N. 24th St.,San Jose,95116,Santa Clara,San Jose Unified,No,No,No,Yes,2016
1640,Mt. Madonna High,Public,12-Sep,8750 Hirasaki Ct.,Gilroy,95020,Santa Clara,Gilroy Unified,No,No,No,No,2016
1820,Broadway High,Public,12-Sep,4825 Speak Ln.,San Jose,95118,Santa Clara,San Jose Unified,No,No,No,Yes,2016
7,Monta Vista High,Public,12-Sep,21840 McClellan Rd.,Cupertino,95014,Santa Clara,Fremont Union High,No,No,No,(n/a),2015
12,Lynbrook High,Public,12-Sep,1280 Johnson Ave.,San Jose,95129,Santa Clara,Fremont Union High,No,No,No,(n/a),2015
13,Saratoga High,Public,12-Sep,20300 Herriman Ave.,Saratoga,95070,Santa Clara,Los Gatos-Saratoga Joint Union High,No,No,No,No,2015
44,Palo Alto High,Public,12-Sep,50 Embarcadero Rd.,Palo Alto,94301,Santa Clara,Palo Alto Unified,No,No,No,No,2015
45,Cupertino High,Public,12-Sep,10100 Finch Ave.,Cupertino,95014,Santa Clara,Fremont Union High,No,No,No,(n/a),2015
56,Homestead High,Public,12-Sep,21370 Homestead Rd.,Cupertino,95014,Santa Clara,Fremont Union High,No,No,No,(n/a),2015
58,Henry M. Gunn High,Public,12-Sep,780 Arastradero Rd.,Palo Alto,94306,Santa Clara,Palo Alto Unified,No,No,No,No,2015
62,Leland High,Public,12-Sep,6677 Camden Ave.,San Jose,95120,Santa Clara,San Jose Unified,No,No,No,No,2015
105,Los Altos High,Public,12-Sep,201 Almond Ave.,Los Altos,94022,Santa Clara,Mountain View-Los Altos Union High,No,No,No,No,2015
107,Leigh High,Public,12-Sep,5210 Leigh Ave.,San Jose,95124,Santa Clara,Campbell Union High,No,No,No,No,2015
121,Mountain View High,Public,12-Sep,3535 Truman Ave.,Mountain View,94040,Santa Clara,Mountain View-Los Altos Union High,No,No,No,No,2015
138,Evergreen Valley High,Public,12-Sep,3300 Quimby Rd.,San Jose,95148,Santa Clara,East Side Union High,No,No,No,No,2015
142,Los Gatos High,Public,12-Sep,20 High Sch Ct.,Los Gatos,95030,Santa Clara,Los Gatos-Saratoga Joint Union High,No,No,No,Yes,2015
146,Piedmont Hills High,"Public, Magnet",12-Sep,1377 Piedmont Rd.,San Jose,95132,Santa Clara,East Side Union High,No,Yes,No,No,2015
179,Branham High,Public,12-Sep,1570 Branham Ln.,San Jose,95118,Santa Clara,Campbell Union High,No,No,No,No,2015
202,Milpitas High,Public,12-Sep,1285 Escuela Pkwy.,Milpitas,95035,Santa Clara,Milpitas Unified,No,No,No,No,2015
207,Westmont High,Public,12-Sep,4805 W.mont Ave.,Campbell,95008,Santa Clara,Campbell Union High,No,No,No,No,2015
239,Santa Teresa High,"Public, Magnet",12-Sep,6150 Snell Rd.,San Jose,95123,Santa Clara,East Side Union High,No,Yes,No,No,2015
270,Ann Sobrato High,Public,12-Sep,401 Burnett Ave.,Morgan Hill,95037,Santa Clara,Morgan Hill Unified,No,No,No,No,2015
306,Prospect High,Public,12-Sep,18900 Prospect Rd.,Saratoga,95070,Santa Clara,Campbell Union High,No,No,No,No,2015
314,Adrian Wilcox High,Public,12-Sep,3250 Monroe St.,Santa Clara,95051,Santa Clara,Santa Clara Unified,No,No,No,No,2015
329,Silver Creek High,"Public, Magnet",12-Sep,3434 Silver Creek Rd.,San Jose,95121,Santa Clara,East Side Union High,No,Yes,No,Yes,2015
436,Fremont High,Public,12-Sep,1279 Sunnyvale-Saratoga Rd.,Sunnyvale,94087,Santa Clara,Fremont Union High,No,No,No,(n/a),2015
443,Live Oak High,Public,12-Sep,1505 E. Main Ave.,Morgan Hill,95037,Santa Clara,Morgan Hill Unified,No,No,No,No,2015
444,Pioneer High,Public,12-Sep,1290 Blossom Hill Rd.,San Jose,95118,Santa Clara,San Jose Unified,No,No,No,No,2015
505,Christopher High,Public,12-Sep,850 Day Rd.,Gilroy,95020,Santa Clara,Gilroy Unified,No,No,No,No,2015
517,Willow Glen High,Public,12-Sep,2001 Cottle Ave.,San Jose,95125,Santa Clara,San Jose Unified,No,No,No,No,2015
554,Independence High,"Public, Magnet",12-Sep,1776 Edal Park Dr.,San Jose,95133,Santa Clara,East Side Union High,No,Yes,No,Yes,2015
583,Abraham Lincoln High,Public,12-Sep,555 Dana Ave.,San Jose,95126,Santa Clara,San Jose Unified,No,No,No,Yes,2015
597,Del Mar High,Public,12-Sep,1224 Del Mar Ave.,San Jose,95128,Santa Clara,Campbell Union High,No,No,No,Yes,2015
618,Santa Clara High,Public,12-Sep,3000 Benton St.,Santa Clara,95051,Santa Clara,Santa Clara Unified,No,No,No,No,2015
773,Oak Grove High,"Public, Magnet",12-Sep,285 Blossom Hill Rd.,San Jose,95123,Santa Clara,East Side Union High,No,Yes,No,Yes,2015
859,Yerba Buena High,"Public, Magnet",12-Sep,1855 Lucretia Ave.,San Jose,95122,Santa Clara,East Side Union High,No,Yes,No,Yes,2015
934,Mt. Pleasant High,"Public, Magnet",12-Sep,1750 S. White Rd.,San Jose,95127,Santa Clara,East Side Union High,No,Yes,No,Yes,2015
948,Andrew P. Hill High,"Public, Magnet",12-Sep,3200 Senter Rd.,San Jose,95111,Santa Clara,East Side Union High,No,Yes,No,Yes,2015
1014,San Jose High,Public,12-Sep,275 N. 24th St.,San Jose,95116,Santa Clara,San Jose Unified,No,No,No,Yes,2015
1062,Gunderson High,Public,12-Sep,620 Gaundabert Ln.,San Jose,95136,Santa Clara,San Jose Unified,No,No,No,Yes,2015
1187,William C. Overfelt High,"Public, Magnet",12-Sep,1835 Cunningham Ave.,San Jose,95122,Santa Clara,East Side Union High,No,Yes,No,Yes,2015
1198,James Lick High,"Public, Magnet",12-Sep,57 N. White Rd.,San Jose,95127,Santa Clara,East Side Union High,No,Yes,No,Yes,2015
1219,Gilroy High,Public,12-Sep,750 W. Tenth St.,Gilroy,95020,Santa Clara,Gilroy Unified,No,No,No,No,2015
1280,ACE Charter High,"Public, Charter",12-Sep,1776 Edal Park Dr.,San Jose,95133,Santa Clara,East Side Union High,Yes,No,No,Yes,2015
1501,Boynton High,Public,12-Sep,901 Boynton Ave.,San Jose,95117,Santa Clara,Campbell Union High,No,No,No,No,2015
1617,Alta Vista High,Public,12-Sep,1325 Bryant Ave.,Mountain View,94040,Santa Clara,Mountain View-Los Altos Union High,No,No,No,Yes,2015
1662,Broadway High,Public,12-Sep,4825 Speak Ln.,San Jose,95118,Santa Clara,San Jose Unified,No,No,No,Yes,2015
1730,Mt. Madonna High,Public,12-Sep,8750 Hirasaki Ct.,Gilroy,95020,Santa Clara,Gilroy Unified,No,No,No,No,2015
30,Monta Vista High,Public,12-Sep,21840 McClellan Rd.,Cupertino,95014,Santa Clara,Fremont Union High,No,No,No,(n/a),2013
38,Lynbrook High,Public,12-Sep,1280 Johnson Ave.,San Jose,95129,Santa Clara,Fremont Union High,No,No,No,(n/a),2013
40,Saratoga High,Public,12-Sep,20300 Herriman Ave.,Saratoga,95070,Santa Clara,Los Gatos-Saratoga Joint Union High,No,No,No,No,2013
51,Henry M. Gunn High,Public,12-Sep,780 Arastradero Rd.,Palo Alto,94306,Santa Clara,Palo Alto Unified,No,No,No,No,2013
53,Leland High,Public,12-Sep,6677 Camden Ave.,San Jose,95120,Santa Clara,San Jose Unified,No,No,No,No,2013
74,Palo Alto High,Public,12-Sep,50 Embarcadero Rd.,Palo Alto,94301,Santa Clara,Palo Alto Unified,No,No,No,No,2013
121,Los Altos High,Public,12-Sep,201 Almond Ave.,Los Altos,94022,Santa Clara,Mountain View-Los Altos Union High,No,No,No,No,2013
122,Los Gatos High,Public,12-Sep,20 High Sch Ct.,Los Gatos,95030,Santa Clara,Los Gatos-Saratoga Joint Union High,No,No,No,Yes,2013
145,Cupertino High,Public,12-Sep,10100 Finch Ave.,Cupertino,95014,Santa Clara,Fremont Union High,No,No,No,(n/a),2013
190,Communitas Charter High,"Public, Charter",12-Sep,4849 Pearl Ave,San Jose,95136,Santa Clara,Santa Clara County Office Of Education,Yes,No,(n/a),(n/a),2013
272,Homestead High,Public,12-Sep,21370 Homestead Rd.,Cupertino,95014,Santa Clara,Fremont Union High,No,No,No,(n/a),2013
302,Evergreen Valley High,Public,12-Sep,3300 Quimby Rd.,San Jose,95148,Santa Clara,East Side Union High,No,No,No,No,2013
367,Prospect High,Public,12-Sep,18900 Prospect Rd.,Saratoga,95070,Santa Clara,Campbell Union High,No,No,No,No,2013
376,Milpitas High,Public,12-Sep,1285 Escuela Pkwy.,Milpitas,95035,Santa Clara,Milpitas Unified,No,No,No,No,2013
399,Mountain View High,Public,12-Sep,3535 Truman Ave.,Mountain View,94040,Santa Clara,Mountain View-Los Altos Union High,No,No,No,No,2013
432,Leigh High,Public,12-Sep,5210 Leigh Ave.,San Jose,95124,Santa Clara,Campbell Union High,No,No,No,No,2013
438,Pioneer High,Public,12-Sep,1290 Blossom Hill Rd.,San Jose,95118,Santa Clara,San Jose Unified,No,No,No,No,2013
448,Westmont High,Public,12-Sep,4805 W.mont Ave.,Campbell,95008,Santa Clara,Campbell Union High,No,No,No,No,2013
482,Piedmont Hills High,"Public, Magnet",12-Sep,1377 Piedmont Rd.,San Jose,95132,Santa Clara,East Side Union High,No,Yes,No,No,2013
498,Christopher High,Public,12-Sep,850 Day Rd.,Gilroy,95020,Santa Clara,Gilroy Unified,No,No,No,No,2013
532,Silver Creek High,"Public, Magnet",12-Sep,3434 Silver Creek Rd.,San Jose,95121,Santa Clara,East Side Union High,No,Yes,No,Yes,2013
572,Branham High,Public,12-Sep,1570 Branham Ln.,San Jose,95118,Santa Clara,Campbell Union High,No,No,No,No,2013
666,Ann Sobrato High,Public,12-Sep,401 Burnett Ave.,Morgan Hill,95037,Santa Clara,Morgan Hill Unified,No,No,No,No,2013
720,Live Oak High,Public,12-Sep,1505 E. Main Ave.,Morgan Hill,95037,Santa Clara,Morgan Hill Unified,No,No,No,No,2013
732,Santa Teresa High,"Public, Magnet",12-Sep,6150 Snell Rd.,San Jose,95123,Santa Clara,East Side Union High,No,Yes,No,No,2013
764,Fremont High,Public,12-Sep,1279 Sunnyvale-Saratoga Rd.,Sunnyvale,94087,Santa Clara,Fremont Union High,No,No,No,(n/a),2013
771,Santa Clara High,Public,12-Sep,3000 Benton St.,Santa Clara,95051,Santa Clara,Santa Clara Unified,No,No,No,No,2013
807,Adrian Wilcox High,Public,12-Sep,3250 Monroe St.,Santa Clara,95051,Santa Clara,Santa Clara Unified,No,No,No,No,2013
851,Independence High,"Public, Magnet",12-Sep,1776 Edal Park Dr.,San Jose,95133,Santa Clara,East Side Union High,No,Yes,No,Yes,2013
866,Abraham Lincoln High,Public,12-Sep,555 Dana Ave.,San Jose,95126,Santa Clara,San Jose Unified,No,No,No,Yes,2013
880,Gilroy High,Public,12-Sep,750 W. Tenth St.,Gilroy,95020,Santa Clara,Gilroy Unified,No,No,No,No,2013
893,Willow Glen High,Public,12-Sep,2001 Cottle Ave.,San Jose,95125,Santa Clara,San Jose Unified,No,No,No,No,2013
902,Andrew P. Hill High,"Public, Magnet",12-Sep,3200 Senter Rd.,San Jose,95111,Santa Clara,East Side Union High,No,Yes,No,Yes,2013
965,San Jose High,Public,12-Sep,275 N. 24th St.,San Jose,95116,Santa Clara,San Jose Unified,No,No,No,Yes,2013
1042,Oak Grove High,"Public, Magnet",12-Sep,285 Blossom Hill Rd.,San Jose,95123,Santa Clara,East Side Union High,No,Yes,No,Yes,2013
1063,Mt. Pleasant High,"Public, Magnet",12-Sep,1750 S. White Rd.,San Jose,95127,Santa Clara,East Side Union High,No,Yes,No,Yes,2013
1097,Gunderson High,Public,12-Sep,620 Gaundabert Ln.,San Jose,95136,Santa Clara,San Jose Unified,No,No,No,Yes,2013
1162,Yerba Buena High,"Public, Magnet",12-Sep,1855 Lucretia Ave.,San Jose,95122,Santa Clara,East Side Union High,No,Yes,No,Yes,2013
1276,Del Mar High,Public,12-Sep,1224 Del Mar Ave.,San Jose,95128,Santa Clara,Campbell Union High,No,No,No,Yes,2013
1329,James Lick High,"Public, Magnet",12-Sep,57 N. White Rd.,San Jose,95127,Santa Clara,East Side Union High,No,Yes,No,Yes,2013
1343,Alta Vista High,Public,12-Sep,1325 Bryant Ave.,Mountain View,94040,Santa Clara,Mountain View-Los Altos Union High,No,No,No,Yes,2013
1427,William C. Overfelt High,"Public, Magnet",12-Sep,1835 Cunningham Ave.,San Jose,95122,Santa Clara,East Side Union High,No,Yes,No,Yes,2013
1516,Boynton High,Public,12-Sep,901 Boynton Ave.,San Jose,95117,Santa Clara,Campbell Union High,No,No,No,No,2013
1589,Broadway High,Public,12-Sep,4825 Speak Ln.,San Jose,95118,Santa Clara,San Jose Unified,No,No,No,Yes,2013
1729,Mt. Madonna High,Public,12-Sep,8750 Hirasaki Ct.,Gilroy,95020,Santa Clara,Gilroy Unified,No,No,No,No,2013
1876,ACE Charter High,"Public, Charter",12-Sep,1776 Edal Park Dr.,San Jose,95133,Santa Clara,East Side Union High,Yes,No,No,Yes,2013
2128,San Jose Community High,Public,12-Sep,1155 E. Julian St.,San Jose,95116,Santa Clara,San Jose Unified,No,No,No,Yes,2013
193,Burlingame High,Public,12-Sep,1 Mangini Way,Burlingame,94010,San Mateo,San Mateo Union High,No,No,No,No,2013
202,Mills High,Public,12-Sep,400 Murchison Dr.,Millbrae,94030,San Mateo,San Mateo Union High,No,No,No,No,2013
205,Summit Preparatory Charter High,"Public, Charter",12-Sep,890 BRd.way,Redwood City,94063,San Mateo,Sequoia Union High,Yes,No,No,Yes,2013
208,Carlmont High,"Public, Magnet",12-Sep,1400 Alameda de Las Pulgas,Belmont,94002,San Mateo,Sequoia Union High,No,Yes,No,No,2013
262,Aragon High,Public,12-Sep,900 Alameda de Las Pulgas,San Mateo,94402,San Mateo,San Mateo Union High,No,No,No,No,2013
271,Menlo-Atherton High,Public,12-Sep,555 Midfield Rd.,Atherton,94025,San Mateo,Sequoia Union High,No,No,No,No,2013
310,Everest Public High,"Public, Charter",12-Sep,455 Fifth Ave,Redwood City,94063,San Mateo,SBE - Everest Public High,Yes,No,(n/a),Yes,2013
338,Oceana High,Public,12-Sep,401 Paloma Ave.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2013
357,Hillsdale High,Public,12-Sep,3115 Del Monte St.,San Mateo,94403,San Mateo,San Mateo Union High,No,No,No,No,2013
364,Terra Nova High,Public,12-Sep,1450 Terra Nova Blvd.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2013
400,Half Moon Bay High,Public,12-Sep,1 Lewis Foster Dr.,Half Moon Bay,94019,San Mateo,Cabrillo Unified,No,No,No,Yes,2013
404,Capuchino High,Public,12-Sep,1501 Magnolia Ave.,San Bruno,94066,San Mateo,San Mateo Union High,No,No,No,No,2013
424,Sequoia High,Public,12-Sep,1201 Brewster Ave.,Redwood City,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2013
436,San Mateo High,Public,12-Sep,506 N. Delaware St.,San Mateo,94401,San Mateo,San Mateo Union High,No,No,No,No,2013
473,Westmoor High,Public,12-Sep,131 W.moor Ave.,Daly City,94015,San Mateo,Jefferson Union High,No,No,No,No,2013
673,El Camino High,Public,12-Sep,1320 Mission Rd.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2013
738,Woodside High,Public,12-Sep,199 Churchill Ave.,Woodside,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2013
773,South San Francisco High,Public,12-Sep,400 B St.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2013
863,Pescadero High,Public,12-Sep,350 Butano Cut Off,Pescadero,94060,San Mateo,La Honda-Pescadero Unified,No,No,No,Yes,2013
1081,Jefferson High,Public,12-Sep,6996 Mission St.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,Yes,2013
1643,Thornton High,Public,12-Sep,115 First Ave.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,No,2013
1829,Redwood High,Public,12-Sep,1968 Old Co Rd.,Redwood City,94063,San Mateo,Sequoia Union High,No,No,No,Yes,2013
58,Carlmont High,"Public, Magnet",12-Sep,1400 Alameda de Las Pulgas,Belmont,94002,San Mateo,Sequoia Union High,No,Yes,No,No,2018
100,Burlingame High,Public,12-Sep,1 Mangini Way,Burlingame,94010,San Mateo,San Mateo Union High,No,No,No,No,2018
119,Mills High,Public,12-Sep,400 Murchison Dr.,Millbrae,94030,San Mateo,San Mateo Union High,No,No,No,No,2018
157,Aragon High,Public,12-Sep,900 Alameda de Las Pulgas,San Mateo,94402,San Mateo,San Mateo Union High,No,No,No,No,2018
230,Hillsdale High,Public,12-Sep,3115 Del Monte St.,San Mateo,94403,San Mateo,San Mateo Union High,No,No,No,No,2018
279,Oceana High,Public,12-Sep,401 Paloma Ave.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2018
305,Westmoor High,Public,12-Sep,131 W.moor Ave.,Daly City,94015,San Mateo,Jefferson Union High,No,No,No,No,2018
312,Summit Preparatory Charter High,"Public, Charter",12-Sep,890 BRd.way,Redwood City,94063,San Mateo,Sequoia Union High,Yes,No,No,Yes,2018
419,San Mateo High,Public,12-Sep,506 N. Delaware St.,San Mateo,94401,San Mateo,San Mateo Union High,No,No,No,No,2018
428,Half Moon Bay High,Public,12-Sep,1 Lewis Foster Dr.,Half Moon Bay,94019,San Mateo,Cabrillo Unified,No,No,No,Yes,2018
467,Menlo-Atherton High,Public,12-Sep,555 Midfield Rd.,Atherton,94025,San Mateo,Sequoia Union High,No,No,No,No,2018
471,Terra Nova High,Public,12-Sep,1450 Terra Nova Blvd.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2018
509,Woodside High,Public,12-Sep,199 Churchill Ave.,Woodside,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2018
513,El Camino High,Public,12-Sep,1320 Mission Rd.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2018
566,Capuchino High,Public,12-Sep,1501 Magnolia Ave.,San Bruno,94066,San Mateo,San Mateo Union High,No,No,No,No,2018
579,Sequoia High,Public,12-Sep,1201 Brewster Ave.,Redwood City,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2018
807,South San Francisco High,Public,12-Sep,400 B St.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2018
863,Jefferson High,Public,12-Sep,6996 Mission St.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,Yes,2018
951,Pescadero High,Public,12-Sep,350 Butano Cut Off,Pescadero,94060,San Mateo,La Honda-Pescadero Unified,No,No,No,Yes,2018
1157,Everest Public High,"Public, Charter",12-Sep,455 Fifth Ave.,Redwood City,94063,San Mateo,Sequoia Union High,Yes,No,No,Yes,2018
1871,Thornton High,Public,12-Sep,115 First Ave.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,No,2018
1940,Redwood High,Public,12-Sep,1968 Old Co Rd.,Redwood City,94063,San Mateo,Sequoia Union High,No,No,No,Yes,2018
39,Mills High,Public,12-Sep,400 Murchison Dr.,Millbrae,94030,San Mateo,San Mateo Union High,No,No,No,No,2017
68,Burlingame High,Public,12-Sep,1 Mangini Way,Burlingame,94010,San Mateo,San Mateo Union High,No,No,No,No,2017
78,Carlmont High,"Public, Magnet",12-Sep,1400 Alameda de Las Pulgas,Belmont,94002,San Mateo,Sequoia Union High,No,Yes,No,No,2017
107,Aragon High,Public,12-Sep,900 Alameda de Las Pulgas,San Mateo,94402,San Mateo,San Mateo Union High,No,No,No,No,2017
151,Oceana High,Public,12-Sep,401 Paloma Ave.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2017
225,Hillsdale High,Public,12-Sep,3115 Del Monte St.,San Mateo,94403,San Mateo,San Mateo Union High,No,No,No,No,2017
240,Design Technical High,"Public, Charter",12-Sep,275 Oracle Pkwy.,Redwood City,94065,San Mateo,San Mateo Union High,Yes,No,No,(n/a),2017
286,Menlo-Atherton High,Public,12-Sep,555 Midfield Rd.,Atherton,94025,San Mateo,Sequoia Union High,No,No,No,No,2017
302,Westmoor High,Public,12-Sep,131 W.moor Ave.,Daly City,94015,San Mateo,Jefferson Union High,No,No,No,No,2017
371,Capuchino High,Public,12-Sep,1501 Magnolia Ave.,San Bruno,94066,San Mateo,San Mateo Union High,No,No,No,No,2017
378,Woodside High,Public,12-Sep,199 Churchill Ave.,Woodside,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2017
411,Sequoia High,Public,12-Sep,1201 Brewster Ave.,Redwood City,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2017
428,Everest Public High,"Public, Charter",12-Sep,455 Fifth Ave.,Redwood City,94063,San Mateo,Sequoia Union High,Yes,No,No,Yes,2017
441,Pescadero High,Public,12-Sep,350 Butano Cut Off,Pescadero,94060,San Mateo,La Honda-Pescadero Unified,No,No,No,Yes,2017
460,San Mateo High,Public,12-Sep,506 N. Delaware St.,San Mateo,94401,San Mateo,San Mateo Union High,No,No,No,No,2017
480,Terra Nova High,Public,12-Sep,1450 Terra Nova Blvd.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2017
615,Half Moon Bay High,Public,12-Sep,1 Lewis Foster Dr.,Half Moon Bay,94019,San Mateo,Cabrillo Unified,No,No,No,Yes,2017
697,El Camino High,Public,12-Sep,1320 Mission Rd.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2017
958,Jefferson High,Public,12-Sep,6996 Mission St.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,Yes,2017
1047,South San Francisco High,Public,12-Sep,400 B St.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2017
1630,Thornton High,Public,12-Sep,115 First Ave.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,No,2017
1635,Peninsula High,Public,12-Sep,300 Piedmont Ave.,San Bruno,94066,San Mateo,San Mateo Union High,No,No,No,Yes,2017
1835,Redwood High,Public,12-Sep,1968 Old Co Rd.,Redwood City,94063,San Mateo,Sequoia Union High,No,No,No,Yes,2017
53,Mills High,Public,12-Sep,400 Murchison Dr.,Millbrae,94030,San Mateo,San Mateo Union High,No,No,No,No,2016
69,Burlingame High,Public,12-Sep,1 Mangini Way,Burlingame,94010,San Mateo,San Mateo Union High,No,No,No,No,2016
152,Aragon High,Public,12-Sep,900 Alameda de Las Pulgas,San Mateo,94402,San Mateo,San Mateo Union High,No,No,No,No,2016
186,Summit Preparatory Charter High,"Public, Charter",12-Sep,890 BRd.way,Redwood City,94063,San Mateo,Sequoia Union High,Yes,No,No,Yes,2016
189,Carlmont High,"Public, Magnet",12-Sep,1400 Alameda de Las Pulgas,Belmont,94002,San Mateo,Sequoia Union High,No,Yes,No,No,2016
228,Oceana High,Public,12-Sep,401 Paloma Ave.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2016
235,Hillsdale High,Public,12-Sep,3115 Del Monte St.,San Mateo,94403,San Mateo,San Mateo Union High,No,No,No,No,2016
350,San Mateo High,Public,12-Sep,506 N. Delaware St.,San Mateo,94401,San Mateo,San Mateo Union High,No,No,No,No,2016
379,Menlo-Atherton High,Public,12-Sep,555 Midfield Rd.,Atherton,94025,San Mateo,Sequoia Union High,No,No,No,No,2016
434,Terra Nova High,Public,12-Sep,1450 Terra Nova Blvd.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2016
510,Capuchino High,Public,12-Sep,1501 Magnolia Ave.,San Bruno,94066,San Mateo,San Mateo Union High,No,No,No,No,2016
527,Half Moon Bay High,Public,12-Sep,1 Lewis Foster Dr.,Half Moon Bay,94019,San Mateo,Cabrillo Unified,No,No,No,Yes,2016
563,El Camino High,Public,12-Sep,1320 Mission Rd.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2016
577,Woodside High,Public,12-Sep,199 Churchill Ave.,Woodside,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2016
588,Sequoia High,Public,12-Sep,1201 Brewster Ave.,Redwood City,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2016
598,Pescadero High,Public,12-Sep,350 Butano Cut Off,Pescadero,94060,San Mateo,La Honda-Pescadero Unified,No,No,No,Yes,2016
683,South San Francisco High,Public,12-Sep,400 B St.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2016
709,Westmoor High,Public,12-Sep,131 W.moor Ave.,Daly City,94015,San Mateo,Jefferson Union High,No,No,No,No,2016
813,Jefferson High,Public,12-Sep,6996 Mission St.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,Yes,2016
1755,Peninsula High,Public,12-Sep,300 Piedmont Ave.,San Bruno,94066,San Mateo,San Mateo Union High,No,No,No,Yes,2016
1875,Thornton High,Public,12-Sep,115 First Ave.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,No,2016
1994,Redwood High,Public,12-Sep,1968 Old Co Rd.,Redwood City,94063,San Mateo,Sequoia Union High,No,No,No,Yes,2016
66,Burlingame High,Public,12-Sep,1 Mangini Way,Burlingame,94010,San Mateo,San Mateo Union High,No,No,No,No,2015
71,Mills High,Public,12-Sep,400 Murchison Dr.,Millbrae,94030,San Mateo,San Mateo Union High,No,No,No,No,2015
134,Aragon High,Public,12-Sep,900 Alameda de Las Pulgas,San Mateo,94402,San Mateo,San Mateo Union High,No,No,No,No,2015
157,Carlmont High,"Public, Magnet",12-Sep,1400 Alameda de Las Pulgas,Belmont,94002,San Mateo,Sequoia Union High,No,Yes,No,No,2015
184,Summit Preparatory Charter High,"Public, Charter",12-Sep,890 BRd.way,Redwood City,94063,San Mateo,Sequoia Union High,Yes,No,No,Yes,2015
226,Oceana High,Public,12-Sep,401 Paloma Ave.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2015
338,Menlo-Atherton High,Public,12-Sep,555 Midfield Rd.,Atherton,94025,San Mateo,Sequoia Union High,No,No,No,No,2015
346,Hillsdale High,Public,12-Sep,3115 Del Monte St.,San Mateo,94403,San Mateo,San Mateo Union High,No,No,No,No,2015
357,San Mateo High,Public,12-Sep,506 N. Delaware St.,San Mateo,94401,San Mateo,San Mateo Union High,No,No,No,No,2015
